Code	Station
TAE	Aadorf / Tänikon
COM	Acquarossa / Comprovasco
ABO	Adelboden
AIG	Aigle
ALT	Altdorf
AND	Andeer
RAG	Bad Ragaz
BAS	Basel / Binningen
BER	Bern / Zollikofen
BEZ	Beznau
BIE	Bière
BIZ	Bischofszell
BOL	Boltigen
BOU	Bouveret
BRZ	Brienz
BUS	Buchs / Aarau
BUF	Buffalora
FRE	Bullet / La Frétaz
CHA	Chasseral
CHD	Château-d'Oex
CHU	Chur
CIM	Cimetta
GSB	Col du Grand St-Bernard
CMA	Crap Masegn
CRM	Cressier
DAV	Davos
DEM	Delémont
DIS	Disentis / Sedrun
EBK	Ebnat-Kappel
EGH	Eggishorn
EGO	Egolzwil
EIN	Einsiedeln
ELM	Elm
ENG	Engelberg
EVO	Evolène / Villa
FAH	Fahy
GRA	Fribourg / Posieux
GVE	Genève-Cointrin
GIH	Giswil
GLA	Glarus
GOR	Gornergrat
GOE	Gösgen
GRE	Grenchen
GRH	Grimsel Hospiz
GRO	Grono
GUE	Gütsch ob Andermatt
GUT	Güttingen
HLL	Hallau
HOE	Hörnli
INT	Interlaken
JUN	Jungfraujoch
KOP	Koppigen
CDF	La Chaux-de-Fonds
DOL	La Dôle
LAE	Lägern
LAG	Langnau i.E.
MLS	Le Moléson
LEI	Leibstadt
ATT	Les Attelas
OTL	Locarno / Monti
LUG	Lugano
LUZ	Luzern
MAG	Magadino / Cadenazzo
MER	Meiringen
MOE	Möhlin
MVE	Montana
GEN	Monte Generoso
MRP	Monte Rosa-Plattje
MOA	Mosen
MUB	Mühleberg
NAS	Naluns / Schlivera
NAP	Napf
NEU	Neuchâtel
CGI	Nyon / Changins
ORO	Oron
PAY	Payerne
PIL	Pilatus
PIO	Piotta
COV	Piz Corvatsch
PMA	Piz Martegnas
PLF	Plaffeien
ROB	Poschiavo / Robbia
PUY	Pully
QUI	Quinten
ROE	Robièi
RUE	Rünenberg
SBE	S. Bernardino
HAI	Salen-Reutenen
SAM	Samedan
SAE	Säntis
SHA	Schaffhausen
SCM	Schmerikon
SPF	Schüpfheim
SCU	Scuol
SIO	Sion
PRE	St-Prex
STG	St. Gallen
SMM	Sta. Maria, Val Müstair
SBO	Stabio
STK	Steckborn
THU	Thun
TIT	Titlis
ULR	Ulrichen
VAD	Vaduz
VAB	Valbella
VIS	Visp
WAE	Wädenswil
WFJ	Weissfluhjoch
WYN	Wynau
ZER	Zermatt
REH	Zürich / Affoltern
SMA	Zürich / Fluntern
KLO	Zürich / Kloten
